2019-07-27 00:00:46.774 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2019-07-27 00:14:27.271 [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: jsonUsingPOST_1
2019-07-27 00:14:27.335 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8082"]
2019-07-27 00:14:27.383 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8082 (http) with context path ''
2019-07-27 00:14:27.385 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8082
2019-07-27 00:14:27.388 [main] INFO  com.mt.console.SpringbootConsoleApplication - Started SpringbootConsoleApplication in 18.474 seconds (JVM running for 20.144)
2019-07-27 00:14:40.270 [http-nio-8082-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-07-27 00:14:40.271 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-07-27 00:14:40.292 [http-nio-8082-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 20 ms
2019-07-27 00:14:40.348 [http-nio-8082-exec-1] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/
2019-07-27 00:14:40.534 [http-nio-8082-exec-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:39}] to 127.0.0.1:27017
2019-07-27 00:14:41.025 [http-nio-8082-exec-1] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/error
2019-07-27 00:14:41.082 [http-nio-8082-exec-2] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:41.156 [http-nio-8082-exec-3] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/bootstrap/css/bootstrap.min.css
2019-07-27 00:14:41.157 [http-nio-8082-exec-4] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/dist/css/AdminLTE.min.css
2019-07-27 00:14:41.158 [http-nio-8082-exec-5] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/plugins/iCheck/square/blue.css
2019-07-27 00:14:41.161 [http-nio-8082-exec-6] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/plugins/jQuery/jquery-2.2.3.min.js
2019-07-27 00:14:41.162 [http-nio-8082-exec-8] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/verifycode
2019-07-27 00:14:41.163 [http-nio-8082-exec-7] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/bootstrap/js/bootstrap.min.js
2019-07-27 00:14:41.219 [http-nio-8082-exec-9] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:41.263 [http-nio-8082-exec-10] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:41.266 [http-nio-8082-exec-1] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/lte/plugins/iCheck/icheck.min.js
2019-07-27 00:14:41.284 [http-nio-8082-exec-2] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:41.285 [http-nio-8082-exec-5] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/common/js/jquery.form.js
2019-07-27 00:14:41.305 [http-nio-8082-exec-5] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/console/login
2019-07-27 00:14:41.307 [http-nio-8082-exec-3] INFO  com.mt.console.interceptor.LoginInterceptor - http://localhost:8082/assets/console/js/login.js
